NAME,Median_Household_Income,Unemployment_Rate_Pct,Pct_Over_65,Pct_Native_Hawaiian_PI,Total_Population,state,zip code tabulation area,Year
ZCTA5 96713,40486,6.1,41.9,96.5,1471,15,96713,2016
ZCTA5 96729,47143,10.2,50.4,95.3,1374,15,96729,2016
ZCTA5 96762,93750,4.4,45.8,92.5,6061,15,96762,2016
ZCTA5 96773,47083,16.2,48.1,100.0,148,15,96773,2016
ZCTA5 96783,43056,8.6,57.0,92.5,1999,15,96783,2016
ZCTA5 96792,59741,14.3,51.3,82.7,48302,15,96792,2016
ZCTA5 96704,51141,6.5,52.2,95.5,7874,15,96704,2016
ZCTA5 96716,76117,3.8,54.0,81.9,2808,15,96716,2016
ZCTA5 96720,55389,6.1,50.1,90.1,48182,15,96720,2016
ZCTA5 96725,63800,7.3,48.0,87.3,3492,15,96725,2016
ZCTA5 96732,70789,7.3,51.7,89.3,28074,15,96732,2016
ZCTA5 96734,99215,4.6,47.9,89.9,52340,15,96734,2016
ZCTA5 96749,46860,7.4,50.0,80.2,18088,15,96749,2016
ZCTA5 96755,64091,7.5,53.1,81.0,3404,15,96755,2016
ZCTA5 96756,62065,7.0,52.5,87.1,5766,15,96756,2016
ZCTA5 96769,43125,4.4,43.1,97.2,356,15,96769,2016
ZCTA5 96774,-666666666,16.7,22.3,100.0,289,15,96774,2016
ZCTA5 96778,27559,16.1,50.6,82.0,14481,15,96778,2016
ZCTA5 96779,77614,3.4,54.3,91.9,3052,15,96779,2016
ZCTA5 96786,56782,9.1,46.9,83.1,45277,15,96786,2016
ZCTA5 96797,84533,5.0,50.0,92.0,76020,15,96797,2016
ZCTA5 96826,46625,3.7,52.0,95.1,31385,15,96826,2016
ZCTA5 96708,66683,5.2,52.9,92.4,9753,15,96708,2016
ZCTA5 96710,60645,0.0,64.0,100.0,226,15,96710,2016
ZCTA5 96737,33861,14.1,55.0,77.8,4477,15,96737,2016
ZCTA5 96747,58571,7.5,50.5,90.2,908,15,96747,2016
ZCTA5 96757,36618,11.0,45.5,88.4,698,15,96757,2016
ZCTA5 96759,48717,0.0,44.0,100.0,442,15,96759,2016
ZCTA5 96764,51953,8.6,55.9,90.1,685,15,96764,2016
ZCTA5 96780,32443,5.7,43.6,77.0,721,15,96780,2016
ZCTA5 96790,70098,3.9,51.4,92.7,9465,15,96790,2016
ZCTA5 96816,80429,3.4,52.1,93.7,50118,15,96816,2016
ZCTA5 96822,67384,5.3,52.2,94.9,45908,15,96822,2016
ZCTA5 96796,66111,10.5,53.2,94.2,1804,15,96796,2016
ZCTA5 96815,57484,4.2,49.9,93.4,26839,15,96815,2016
ZCTA5 96703,62237,5.3,49.3,90.3,2049,15,96703,2016
ZCTA5 96706,94827,4.8,50.5,87.2,68881,15,96706,2016
ZCTA5 96714,32938,6.3,51.3,94.9,633,15,96714,2016
ZCTA5 96717,72256,6.3,52.0,88.7,4895,15,96717,2016
ZCTA5 96722,66750,5.9,49.7,91.2,2286,15,96722,2016
ZCTA5 96727,61132,6.4,52.7,90.2,5739,15,96727,2016
ZCTA5 96730,73220,5.4,50.5,89.8,1287,15,96730,2016
ZCTA5 96731,81154,4.5,50.2,93.3,3194,15,96731,2016
ZCTA5 96740,66482,7.4,50.0,88.2,37192,15,96740,2016
ZCTA5 96701,88504,3.6,49.8,91.6,39697,15,96701,2016
ZCTA5 96705,72500,1.7,50.7,90.7,2651,15,96705,2016
ZCTA5 96742,65625,0.0,51.1,96.7,91,15,96742,2016
ZCTA5 96746,67649,6.7,51.7,90.4,19478,15,96746,2016
ZCTA5 96751,45278,0.0,41.4,100.0,70,15,96751,2016
ZCTA5 96752,57800,5.0,50.5,86.0,3237,15,96752,2016
ZCTA5 96753,68655,6.6,49.8,86.0,27855,15,96753,2016
ZCTA5 96795,74955,6.0,53.4,90.6,10781,15,96795,2016
ZCTA5 96814,60135,2.6,52.8,95.8,18710,15,96814,2016
ZCTA5 96712,79464,3.7,46.0,92.4,7614,15,96712,2016
ZCTA5 96728,61477,1.1,49.8,86.7,498,15,96728,2016
ZCTA5 96738,76875,4.5,49.4,89.9,6593,15,96738,2016
ZCTA5 96754,65250,1.5,45.8,95.6,3467,15,96754,2016
ZCTA5 96761,68435,3.9,48.5,88.4,22355,15,96761,2016
ZCTA5 96763,51156,5.6,48.4,88.2,3455,15,96763,2016
ZCTA5 96776,56050,6.8,47.8,90.5,1489,15,96776,2016
ZCTA5 96781,41691,0.8,52.5,75.6,1588,15,96781,2016
ZCTA5 96785,34107,8.6,42.3,93.8,2580,15,96785,2016
ZCTA5 96818,73001,5.1,50.5,88.9,58458,15,96818,2016
ZCTA5 96821,121307,1.2,52.3,95.8,19077,15,96821,2016
ZCTA5 96748,40634,4.5,53.0,95.1,4453,15,96748,2016
ZCTA5 96782,84636,5.8,47.7,89.8,40318,15,96782,2016
ZCTA5 96789,95904,3.9,48.7,90.2,54237,15,96789,2016
ZCTA5 96813,64970,3.3,48.3,94.8,23105,15,96813,2016
ZCTA5 96825,109352,3.6,52.3,94.9,29151,15,96825,2016
ZCTA5 96707,96267,6.7,49.7,87.2,45588,15,96707,2016
ZCTA5 96741,82463,4.3,50.9,82.0,6350,15,96741,2016
ZCTA5 96743,67349,7.5,52.5,91.5,13357,15,96743,2016
ZCTA5 96760,42594,7.3,48.9,85.2,2562,15,96760,2016
ZCTA5 96768,71187,6.3,50.3,90.3,17787,15,96768,2016
ZCTA5 96770,26719,15.2,53.5,94.9,849,15,96770,2016
ZCTA5 96771,34155,6.9,51.4,82.5,7820,15,96771,2016
ZCTA5 96772,41856,10.5,52.6,95.1,2471,15,96772,2016
ZCTA5 96777,33906,9.8,51.8,85.6,1444,15,96777,2016
ZCTA5 96793,73892,6.8,50.3,87.8,31770,15,96793,2016
ZCTA5 96750,56406,3.6,51.1,89.8,3503,15,96750,2016
ZCTA5 96819,74842,5.0,49.2,92.2,54989,15,96819,2016
ZCTA5 96863,-666666666,-666666666.0,0.0,82.6,46,15,96863,2016
ZCTA5 96766,66813,3.7,48.9,90.6,18024,15,96766,2016
ZCTA5 96719,65750,3.4,53.6,92.5,1900,15,96719,2016
ZCTA5 96791,73871,5.5,52.9,85.8,7609,15,96791,2016
ZCTA5 96744,94862,4.4,50.4,91.7,53761,15,96744,2016
ZCTA5 96817,56749,4.9,51.4,92.1,57413,15,96817,2016
ZCTA5 96726,65350,2.2,50.2,83.9,878,15,96726,2016
ZCTA5 96765,72054,0.0,54.8,87.7,560,15,96765,2016
ZCTA5 96850,-666666666,-666666666.0,-666666666.0,-666666666.0,0,15,96850,2016
ZCTA5 96853,-666666666,0.0,17.6,86.5,578,15,96853,2016
ZCTA5 96857,-666666666,0.0,5.8,83.1,2879,15,96857,2016
ZCTA5 96859,-666666666,-666666666.0,35.5,73.4,124,15,96859,2016
ZCTA5 96860,-666666666,0.0,13.7,84.2,1915,15,96860,2016
