NAME,Median_Household_Income,Unemployment_Rate_Pct,Pct_Over_65,Pct_Native_Hawaiian_PI,Total_Population,zip code tabulation area,Year
ZCTA5 96712,90554,2.1,22.4,5.0,6754,96712,2020
ZCTA5 96728,71000,4.0,17.2,9.2,458,96728,2020
ZCTA5 96738,77577,8.7,16.8,13.1,7793,96738,2020
ZCTA5 96754,82500,1.3,21.8,8.5,3500,96754,2020
ZCTA5 96761,85137,6.7,16.8,14.0,23117,96761,2020
ZCTA5 96763,59053,2.2,24.3,7.8,2888,96763,2020
ZCTA5 96776,42175,4.4,26.9,13.8,1315,96776,2020
ZCTA5 96741,83315,5.9,22.3,12.6,6603,96741,2020
ZCTA5 96743,97686,5.8,19.9,7.9,13517,96743,2020
ZCTA5 96760,62196,6.0,28.2,10.9,3038,96760,2020
ZCTA5 96768,96175,2.8,17.5,11.1,18592,96768,2020
ZCTA5 96770,33125,21.9,23.9,2.8,493,96770,2020
ZCTA5 96771,41652,8.5,15.3,20.8,7736,96771,2020
ZCTA5 96772,55469,6.8,28.3,16.1,2693,96772,2020
ZCTA5 96777,50273,16.0,21.6,36.4,2265,96777,2020
ZCTA5 96793,92033,5.8,15.7,11.6,34619,96793,2020
ZCTA5 96750,66646,1.4,27.0,6.3,3386,96750,2020
ZCTA5 96819,83457,5.9,17.1,8.2,51179,96819,2020
ZCTA5 96863,-666666666,-666666666.0,0.0,17.6,51,96863,2020
ZCTA5 96766,85843,2.6,19.0,11.8,18584,96766,2020
ZCTA5 96719,82188,13.0,32.9,11.0,1378,96719,2020
ZCTA5 96791,81912,2.9,21.1,14.6,7303,96791,2020
ZCTA5 96744,116157,3.4,21.9,9.5,51830,96744,2020
ZCTA5 96817,65413,5.3,23.7,6.2,54378,96817,2020
ZCTA5 96726,63000,4.9,3.6,0.0,332,96726,2020
ZCTA5 96765,54850,42.7,21.7,22.5,240,96765,2020
ZCTA5 96850,-666666666,-666666666.0,-666666666.0,-666666666.0,0,96850,2020
ZCTA5 96853,-666666666,-666666666.0,0.0,20.2,475,96853,2020
ZCTA5 96857,-666666666,0.0,0.0,17.9,2918,96857,2020
ZCTA5 96859,-666666666,-666666666.0,-666666666.0,-666666666.0,0,96859,2020
ZCTA5 96860,-666666666,0.0,0.0,17.5,1898,96860,2020
ZCTA5 96781,59567,1.5,19.9,22.7,1086,96781,2020
ZCTA5 96785,58000,4.9,30.6,17.2,3926,96785,2020
ZCTA5 96818,80753,4.8,11.0,12.1,59923,96818,2020
ZCTA5 96821,154545,2.0,28.8,2.1,18700,96821,2020
ZCTA5 96707,109800,5.2,11.2,13.0,46529,96707,2020
ZCTA5 96822,78787,4.9,21.9,5.9,46865,96822,2020
ZCTA5 96796,57781,3.7,29.8,11.7,1682,96796,2020
ZCTA5 96815,64977,4.6,22.1,4.7,25940,96815,2020
ZCTA5 96748,52991,6.6,29.8,3.4,4117,96748,2020
