Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date,Unnamed: 55
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-000125,WAIOLA CLINIC,86-120 Farrington Hwy,Waianae,HI,96792-3000,808-697-3300,www.wcchc.com,55.5,7,All Other Clinic Types,1,Active,121833,1164597795.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/02/1994,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.18491773,21.43589166,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-036107,Ka'u Family Health and Dental Center,95-5583 Mamalahoa Hwy,Naalehu,HI,96772-8900,808-333-3600,,40.0,7,All Other Clinic Types,1,Active,121811,1487602918.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.58290987,19.06130231,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-022342,Waianae Coast Comprehensive Health Center - Accounting and Human Resources,86-120 Farrington Hwy STE C304B,Waianae,HI,96792-3000,808-697-3171,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,07/02/2018,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.18495738,21.43599627,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-000594,WHCHC -- Kuakini Family Medical,75-5751 Kuakini Hwy STE 101A,Kailua Kona,HI,96740-1705,808-326-5629,www.westhawaiichc.org,50.0,7,All Other Clinic Types,1,Active,121834,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/2006,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.99050931,19.63862092,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-036104,Hilo Family Dental Center,"1257 Kilauea Ave, #100",Hilo,HI,96720-4205,808-333-3600,,40.0,7,All Other Clinic Types,1,Active,,1851676746.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.07655532,19.71072186,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS08775,0931570,BPS-H80-014457,Lanai Community Health Center,333 6th St,Lanai City,HI,96763,808-565-6919 x121,,62.0,7,All Other Clinic Types,1,Active,121854,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/02/2014,LANAI COMMUNITY HEALTH CENTER,333 6th St,Lanai City,HI,96763,"Corporate Entity, Federal Tax Exempt",-156.92117911,20.82662562,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-001073,HO'OLA LAHUI HAWAI'I WEST,4643 Waimea Canyon Dr,Waimea,HI,96796,808-240-0130,www.hoolalahui.org,40.0,7,All Other Clinic Types,1,Active,121818,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/12/2001,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.67016038,21.96001622,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00776,093410,BPS-H80-006087,KALIHI VALLEY HOMES PUB. HOUSING,2243 Kalaunu St,Honolulu,HI,96819-2784,808-845-0585,www.kkv.net,5.0,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,12/15/1989,KOKUA KALIHI VALLEY (COMPREHENSIVE FAMILY SERVICES),2239 N School St,Honolulu,HI,96819-2539,"Corporate Entity, Federal Tax Exempt",-157.86572966,21.34837906,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-001356,KAUAI COMMUNITY HEALTH CTR-WEST,4643 Waimea Canyon Dr,Waimea,HI,96796,808-240-0100,www.hoolalahui.org,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/12/2001,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.67016038,21.96001622,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00722,096040,BPS-H80-008908,Community Clinic of Maui,1881 Nani St,Wailuku,HI,96793-1811,808-871-7772,www.ccmaui.org,40.0,7,All Other Clinic Types,1,Active,121812,1686814055.0,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,06/29/2009,"COMMUNITY CLINIC OF MAUI, INC.",1881 Nani St,Wailuku,HI,96793-1811,"Corporate Entity, Federal Tax Exempt",-156.49977727,20.88890229,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
