Hawaii Nonprofit Name,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
12 STEP OHANA CLUB OF KONA INC,923807884,12 STEP OHANA CLUB OF KONA INC,% BARBARA RILEY,75-5711 KUAKINI HWY,KAILUA KONA,HI,96740-1716,0.0,3.0,3.0,1000.0,202305.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F50,
1TRKMND,455358837,1TRKMND,,1170 NUUANU AVE UNIT 372016,HONOLULU,HI,96837-5650,0.0,3.0,3.0,1000.0,201604.0,1.0,15.0,0.0,1.0,1.0,202212.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,T12,1TRKMND
A HEALTHIER HAWAII CORP,933032879,A HEALTHIER HAWAII CORP,,3270 MELEMELE PL,HONOLULU,HI,96822-1430,0.0,3.0,3.0,1200.0,202312.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E70,HEALTHY STEPS HAWAII
ALCOHOLIC REHABILITATION SERVICES OF HAWAII INC,990173356,THE ALCOHOLIC REHABILITATION SERVICES OF HAWAII INC,,45-845 POOKELA ST,KANEOHE,HI,96744-5700,0.0,3.0,3.0,1000.0,197707.0,1.0,16.0,994573000.0,1.0,1.0,202406.0,8.0,8.0,1.0,0.0,6.0,19369549.0,13049215.0,13049215.0,F220,DBA HINA MAUKA
ALOHA MEDICAL MISSION,990234811,ALOHA MEDICAL MISSION,% TONI MURANAKA EXEC DIRECTOR,200 N VINEYARD BLVD UNIT B-120,HONOLULU,HI,96817-3950,0.0,3.0,3.0,1000.0,198504.0,1.0,15.0,179000000.0,1.0,1.0,202312.0,6.0,5.0,1.0,0.0,12.0,1032600.0,882246.0,882246.0,Q300,
ALS FOUNDATION OF HAWAII,821080849,ALS FOUNDATION OF HAWAII,,1050 QUEEN STREET,HONOLULU,HI,96814-4130,0.0,3.0,3.0,1000.0,201706.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E50,
ALS OHANA OF HAWAII,464222415,ALS OHANA OF HAWAII,,800 BETHEL ST STE 405,HONOLULU,HI,96813-4340,0.0,3.0,3.0,1200.0,201408.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E99,
AANHPI RESILIENCE PROJECT,991123199,AANHPI RESILIENCE PROJECT,% WILLIAM CHUM,524 KEAWE ST 138,HONOLULU,HI,96813-3101,0.0,3.0,3.0,2800.0,202403.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F01,
AFL HOTEL & RESTAURANT WORKERS HEALTH & WELFARE TRUST FUND,996008823,AFL HOTEL & RESTAURANT WORKERS HEALTH & WELFARE TRUST FUND,,560 N NIMITZ HWY STE 209,HONOLULU,HI,96817-5328,0.0,9.0,3.0,1000.0,195612.0,2.0,0.0,265000000.0,2.0,1.0,202312.0,9.0,9.0,1.0,0.0,12.0,160699492.0,179822093.0,149419239.0,,
AGAPE RANCH,710914316,AGAPE RANCH,% DAN POLIMINO,73-1141 AKAMAI ST,KAILUA KONA,HI,96740-8219,0.0,3.0,3.0,1000.0,200304.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,P74,
