"Site Region","Measurement Period: 2022"
"Index values are not comparable across measurement periods. Index values and rankings are specific to a measurement period, showing the relative ranking of a location in comparison to other similar locations at that time."
Zip Code,Index,Rank,County
"96772","90.2","5","Hawaii"
"96771","90.0","5","Hawaii"
"96704","89.3","5","Hawaii"
"96778","88.6","5","Hawaii"
"96757","82.8","5","Maui"
"96777","81.5","5","Hawaii"
"96729","79.3","5","Maui"
"96774","73.8","5","Hawaii"
"96780","73.8","5","Hawaii"
"96764","73.7","5","Hawaii"
"96770","71.1","5","Maui"
"96760","70.3","5","Hawaii"
"96748","65.7","4","Maui"
"96785","65.6","4","Hawaii"
"96781","61.8","4","Hawaii"
"96727","60.5","4","Hawaii"
"96776","55.5","4","Hawaii"
"96792","49.6","4","Honolulu"
"96857","46.1","4","Honolulu"
"96853","32.3","3","Honolulu"
"96786","32.0","3","Honolulu"
"96817","31.4","3","Honolulu"
"96783","30.4","3","Hawaii"
"96713","29.6","3","Maui"
"96749","27.7","3","Hawaii"
"96755","27.2","3","Hawaii"
"96728","27.1","3","Hawaii"
"96720","26.0","3","Hawaii"
"96710","25.5","3","Hawaii"
"96719","25.3","3","Hawaii"
"96708","23.4","3","Maui"
"96750","23.4","3","Hawaii"
"96722","22.1","3","Kauai"
"96703","21.8","3","Kauai"
"96819","19.5","2","Honolulu"
"96826","19.4","2","Honolulu"
"96725","19.1","2","Hawaii"
"96732","18.5","2","Maui"
"96756","17.8","2","Kauai"
"96860","17.7","2","Honolulu"
"96717","17.4","2","Honolulu"
"96747","17.1","2","Kauai"
"96763","16.3","2","Maui"
"96761","15.8","2","Maui"
"96791","14.9","2","Honolulu"
"96753","14.7","2","Maui"
"96790","14.4","2","Maui"
"96738","14.1","2","Hawaii"
"96743","13.8","2","Hawaii"
"96815","13.7","2","Honolulu"
"96769","13.5","2","Kauai"
"96716","13.3","2","Kauai"
"96740","13.3","2","Hawaii"
"96741","13.0","2","Kauai"
"96793","13.0","2","Maui"
"96814","12.7","2","Honolulu"
"96752","12.3","2","Kauai"
"96762","12.1","2","Honolulu"
"96768","11.3","2","Maui"
"96705","10.6","2","Kauai"
"96746","10.5","2","Kauai"
"96796","9.5","1","Kauai"
"96779","9.4","1","Maui"
"96766","7.5","1","Kauai"
"96731","6.5","1","Honolulu"
"96730","6.4","1","Honolulu"
"96818","6.4","1","Honolulu"
"96822","6.4","1","Honolulu"
"96797","5.6","1","Honolulu"
"96813","5.5","1","Honolulu"
"96754","5.4","1","Kauai"
"96795","5.4","1","Honolulu"
"96707","4.6","1","Honolulu"
"96816","4.5","1","Honolulu"
"96782","4.2","1","Honolulu"
"96712","3.5","1","Honolulu"
"96734","3.4","1","Honolulu"
"96701","2.9","1","Honolulu"
"96706","2.5","1","Honolulu"
"96744","1.7","1","Honolulu"
"96789","1.4","1","Honolulu"
"96825","0.8","1","Honolulu"
"96821","0.4","1","Honolulu"
