"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96701,31.4,percent,28.5,34.2,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96701,30.8,percent,30.5,31.2,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96701,31.6,percent,31.3,32.0,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96703,31.5,percent,28.5,34.9,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96703,29.9,percent,29.1,30.7,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96703,29.4,percent,28.7,30.1,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96704,33.5,percent,30.2,36.7,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96704,30.5,percent,29.7,31.4,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96704,31.1,percent,30.6,31.7,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96705,27.2,percent,24.3,30.2,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96705,27.3,percent,26.3,28.2,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96705,26.8,percent,25.9,27.7,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96706,26.7,percent,24.0,29.3,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96706,26.2,percent,26.0,26.4,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96706,27.3,percent,27.0,27.5,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with High Blood Pressure","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Zip Code",96707,27.4,percent,24.7,30.0,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
