Indicator Name,What Is This Indicator,Location Type,Location,Indicator Rate Value,Indicator Rate Value Units,Rate Lower Confidence Interval,Rate Upper Confidence Interval,Indicator Count Value,Indicator Count Value Units,Count Lower Confidence Interval,Count Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Rate Value,Breakout Rate Value Units,Breakout Rate Lower Confidence Interval,Breakout Rate Upper Confidence Interval,Breakout Count Value,Breakout Count Value Units,Breakout Count Lower Confidence Interval,Breakout Count Upper Confidence Interval,Breakout Unstable,Breakout Footer
Population Native Hawaiian and Other Pacific Islander,"This indicator shows the percentage of the population that is Native Hawaiian and Other Pacific Islander only.Note: For Primary Care Service Areas, the indicator shows the percentage of the population that is any part Native Hawaiian and Other Pacific Islander.",Zip Code,96819,17.6,percent,16.0,19.2,,,,,No,2014-2018,American Community Survey 5-Year,"The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
Population Native Hawaiian and Other Pacific Islander,"This indicator shows the percentage of the population that is Native Hawaiian and Other Pacific Islander only.Note: For Primary Care Service Areas, the indicator shows the percentage of the population that is any part Native Hawaiian and Other Pacific Islander.",Zip Code,96819,17.5,percent,15.9,19.1,,,,,No,2013-2017,American Community Survey 5-Year,"The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
Population Native Hawaiian and Other Pacific Islander,"This indicator shows the percentage of the population that is Native Hawaiian and Other Pacific Islander only.Note: For Primary Care Service Areas, the indicator shows the percentage of the population that is any part Native Hawaiian and Other Pacific Islander.",Zip Code,96819,18.5,percent,16.6,20.4,,,,,No,2012-2016,American Community Survey 5-Year,"The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
Population Native Hawaiian and Other Pacific Islander,"This indicator shows the percentage of the population that is Native Hawaiian and Other Pacific Islander only.Note: For Primary Care Service Areas, the indicator shows the percentage of the population that is any part Native Hawaiian and Other Pacific Islander.",Zip Code,96819,17.8,percent,16.0,19.6,,,,,No,2011-2015,American Community Survey 5-Year,"The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
Population Native Hawaiian and Other Pacific Islander,"This indicator shows the percentage of the population that is Native Hawaiian and Other Pacific Islander only.Note: For Primary Care Service Areas, the indicator shows the percentage of the population that is any part Native Hawaiian and Other Pacific Islander.",Zip Code,96813,20.2,percent,18.2,22.2,,,,,No,2014-2018,American Community Survey 5-Year,"The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
Population Native Hawaiian and Other Pacific Islander,"This indicator shows the percentage of the population that is Native Hawaiian and Other Pacific Islander only.Note: For Primary Care Service Areas, the indicator shows the percentage of the population that is any part Native Hawaiian and Other Pacific Islander.",Zip Code,96813,18.6,percent,16.7,20.5,,,,,No,2013-2017,American Community Survey 5-Year,"The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
Population Native Hawaiian and Other Pacific Islander,"This indicator shows the percentage of the population that is Native Hawaiian and Other Pacific Islander only.Note: For Primary Care Service Areas, the indicator shows the percentage of the population that is any part Native Hawaiian and Other Pacific Islander.",Zip Code,96813,18.5,percent,16.7,20.3,,,,,No,2012-2016,American Community Survey 5-Year,"The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
Population Native Hawaiian and Other Pacific Islander,"This indicator shows the percentage of the population that is Native Hawaiian and Other Pacific Islander only.Note: For Primary Care Service Areas, the indicator shows the percentage of the population that is any part Native Hawaiian and Other Pacific Islander.",Zip Code,96813,18.8,percent,17.1,20.5,,,,,No,2011-2015,American Community Survey 5-Year,"The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
Population Native Hawaiian and Other Pacific Islander,"This indicator shows the percentage of the population that is Native Hawaiian and Other Pacific Islander only.Note: For Primary Care Service Areas, the indicator shows the percentage of the population that is any part Native Hawaiian and Other Pacific Islander.",Zip Code,96817,23.9,percent,22.2,25.6,,,,,No,2014-2018,American Community Survey 5-Year,"The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
Population Native Hawaiian and Other Pacific Islander,"This indicator shows the percentage of the population that is Native Hawaiian and Other Pacific Islander only.Note: For Primary Care Service Areas, the indicator shows the percentage of the population that is any part Native Hawaiian and Other Pacific Islander.",Zip Code,96817,23.2,percent,21.5,24.9,,,,,No,2013-2017,American Community Survey 5-Year,"The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
