zip,diabetes_slope,disabled_slope,employed_slope,healthindex_slope,hibp_slope,kidney_slope,bipoc_slope,nodoc_slope
96701,0.15,-0.03452380952,-0.6035714286,-1.776223776,-0.05,0.01,,
96703,0.31,-0.1595238095,-1.135714286,-2.940559441,0.525,-0.06,,
96704,0.18,-1.101190476,0.5607142857,2.114335664,0.6,0.02,-2.89,0.05
96705,0.39,-0.3797619048,0.8833333333,-3.152097902,0.1,0.04,,
96706,0.15,0.08452380952,-0.7297619048,-2.404545455,-0.15,-0.02,-0.49,0.0775
96707,0.34,0.0869047619,-1.238095238,-1.331818182,0.175,-0.02,0.65,0.045
96708,0.45,-0.1785714286,-0.7607142857,0.5716783217,0.4,0.03,,
96710,-0.26,0.1726190476,-2.728571429,-2.350699301,-0.475,-0.01,,
96712,0.29,0.1142857143,-0.7214285714,-1.198951049,0.325,-0.04,,
96713,0.64,0.1523809524,-2.71547619,0.3713286713,-0.05,-0.03,3.88,
96714,-0.08,0.6583333333,2.482142857,,0.175,-0.03,0.13,0.035
96716,0.47,0.2357142857,-1.180952381,-0.5440559441,1.075,0.04,,
96717,0.17,0.03571428571,-0.1166666667,-3.034965035,-0.4,-0.03,,
96719,-0.02,-0.8833333333,-1.030952381,-4.006643357,0.15,0.03,,
96720,-0.02,0.2214285714,-0.0619047619,-1.441958042,0.25,-0.01,0.09,0.085
96722,0.41,0.9869047619,-0.3071428571,2.127622378,1.125,0.02,,
96725,0.02,-0.4297619048,-1.794047619,-2.530769231,0.1,0.03,,
96726,0.07,6.485714286,-4.485714286,,-0.025,0.05,,
96727,-0.09,1.26547619,-1.49047619,3.363286713,0.2,0.05,0.56,0.3525
96728,-0.24,0.1738095238,0.7988095238,-2.396153846,0,0,,
96729,0.57,0.8535714286,-2.004761905,-3.506293706,0.25,-0.18,,
96730,0,-1.230952381,-1.03452381,-2.373776224,-0.175,-0.03,,
96731,0.38,-0.07261904762,-1.041666667,-1.917132867,0.05,-0.01,,
96732,0.18,-0.1511904762,-0.7726190476,-4.294405594,-0.675,0.04,,
96734,0.15,0.2738095238,-0.1273809524,-1.667482517,0.1,0.02,,
96737,-0.02,-0.8583333333,-0.6,,0.975,-0.05,,
96738,0.43,0.5142857143,-1.896428571,3.697202797,0.95,0.02,-0.94,-0.0075
96740,0.22,0.1357142857,-0.8571428571,-2.146503497,0.55,0.03,-0.35,0.08
96741,0.32,0.275,-1.61547619,0.03181818182,0.55,0.02,,
96742,0.15,0.3785714286,-1.328571429,,-1.925,0,,
96743,0.09,0.07023809524,-1.06547619,-0.779020979,0.125,0,2.57,0.1475
96744,0.23,-0.1071428571,-0.9476190476,-1.867132867,-0.05,0.02,0.13,-0.0525
96746,0.18,0.2107142857,-0.469047619,-2.556993007,0.325,-0.01,-0.22,0.02
96747,0.6,0.7678571429,1.353571429,0.3982517483,0.55,0.03,,
96748,0.36,-0.325,-1.930952381,-0.08811188811,0.25,0.03,-1.33,0.34
96749,0.1,0.4523809524,0.7130952381,-5.113286713,0.35,-0.03,,
96750,0.05,1.745238095,-1.33452381,-2.393356643,0.125,0.02,,
96751,-0.14,4.760714286,1.721428571,,-0.875,-0.01,,
96752,0.15,-0.3071428571,-0.7702380952,0.9356643357,0.225,-0.02,,
96753,0.5,0.04761904762,-1.128571429,-1.802097902,0.275,0.02,,
