Zip Code,Index,Rank,County
"96764","96.0","5","Hawaii"
"96760","92.7","5","Hawaii"
"96778","92.7","5","Hawaii"
"96780","86.4","5","Hawaii"
"96774","86.2","5","Hawaii"
"96777","86.1","5","Hawaii"
"96857","84.6","5","Honolulu"
"96738","80.7","5","Hawaii"
"96783","79.2","5","Hawaii"
"96772","75.8","5","Hawaii"
"96771","73.4","5","Hawaii"
"96727","71.7","5","Hawaii"
"96704","70.9","5","Hawaii"
"96752","66.6","4","Kauai"
"96781","61.4","4","Hawaii"
"96731","59.4","4","Honolulu"
"96792","59.3","4","Honolulu"
"96754","58.5","4","Kauai"
"96776","57.8","4","Hawaii"
"96785","56.2","4","Hawaii"
"96722","54.7","4","Kauai"
"96748","52.4","4","Maui"
"96779","51.5","4","Maui"
"96756","49.1","4","Kauai"
"96747","45.0","3","Kauai"
"96725","42.8","3","Hawaii"
"96815","42.0","3","Honolulu"
"96853","40.1","3","Honolulu"
"96770","37.7","3","Maui"
"96708","35.6","3","Maui"
"96743","33.8","3","Hawaii"
"96769","33.3","3","Kauai"
"96741","32.1","3","Kauai"
"96817","32.0","3","Honolulu"
"96713","31.4","3","Maui"
"96720","31.1","3","Hawaii"
"96728","29.6","3","Hawaii"
"96710","26.6","2","Hawaii"
"96753","22.2","2","Maui"
"96740","21.6","2","Hawaii"
"96755","21.6","2","Hawaii"
"96749","21.0","2","Hawaii"
"96716","20.1","2","Kauai"
"96729","19.7","2","Maui"
"96819","19.7","2","Honolulu"
"96791","19.4","2","Honolulu"
"96761","17.6","2","Maui"
"96712","16.9","2","Honolulu"
"96757","15.7","2","Maui"
"96790","15.5","2","Maui"
"96703","15.1","2","Kauai"
"96814","13.8","2","Honolulu"
"96786","13.7","2","Honolulu"
"96717","12.6","2","Honolulu"
"96826","11.9","1","Honolulu"
"96719","11.1","1","Hawaii"
"96746","11.1","1","Kauai"
"96762","10.2","1","Honolulu"
"96730","9.6","1","Honolulu"
"96750","9.3","1","Hawaii"
"96768","9.2","1","Maui"
"96766","9.1","1","Kauai"
"96796","8.3","1","Kauai"
"96818","8.0","1","Honolulu"
"96705","7.3","1","Kauai"
"96732","6.7","1","Maui"
"96822","6.4","1","Honolulu"
"96707","6.2","1","Honolulu"
"96797","5.9","1","Honolulu"
"96793","4.9","1","Maui"
"96813","4.3","1","Honolulu"
"96734","3.9","1","Honolulu"
"96744","3.5","1","Honolulu"
"96706","3.4","1","Honolulu"
"96816","3.3","1","Honolulu"
"96860","3.2","1","Honolulu"
"96701","3.0","1","Honolulu"
"96795","3.0","1","Honolulu"
"96763","2.6","1","Maui"
"96825","2.2","1","Honolulu"
"96789","1.8","1","Honolulu"
"96782","1.6","1","Honolulu"
"96821","1.0","1","Honolulu"
