"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Airport - Moanalua",8.3,percent,5.2,11.3,,,,,No,2019-2023,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.<div class=""field_divider""><!-- --></div>Values are not shown where the total unweighted response count is < 50 or the relative standard error is > 0.3.",,,,,,,,,,,,,
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Airport - Moanalua",6.5,percent,4.7,8.2,,,,,No,2018-2022,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.<div class=""field_divider""><!-- --></div>Values are not shown where the total unweighted response count is < 50 or the relative standard error is > 0.3.",,,,,,,,,,,,,
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Airport - Moanalua",8.0,percent,6.0,10.1,,,,,No,2017-2021,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.<div class=""field_divider""><!-- --></div>Values are not shown where the total unweighted response count is < 50 or the relative standard error is > 0.3.",,,,,,,,,,,,,
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Airport - Moanalua",8.6,percent,6.5,10.7,,,,,No,2016-2020,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.<div class=""field_divider""><!-- --></div>Values are not shown where the total unweighted response count is < 50 or the relative standard error is > 0.3.",,,,,,,,,,,,,
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Airport - Moanalua",9.2,percent,7.0,11.3,,,,,No,2015-2019,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.<div class=""field_divider""><!-- --></div>Values are not shown where the total unweighted response count is < 50 or the relative standard error is > 0.3.",,,,,,,,,,,,,
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Airport - Moanalua",8.1,percent,6.5,9.8,,,,,No,2014-2018,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.",,,,,,,,,,,,,
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Ala Moana - Nu‘uanu",6.4,percent,4.9,7.9,,,,,No,2019-2023,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.<div class=""field_divider""><!-- --></div>Values are not shown where the total unweighted response count is < 50 or the relative standard error is > 0.3.",,,,,,,,,,,,,
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Ala Moana - Nu‘uanu",6.7,percent,5.2,8.2,,,,,No,2018-2022,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.<div class=""field_divider""><!-- --></div>Values are not shown where the total unweighted response count is < 50 or the relative standard error is > 0.3.",,,,,,,,,,,,,
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Ala Moana - Nu‘uanu",6.3,percent,4.8,7.8,,,,,No,2017-2021,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.<div class=""field_divider""><!-- --></div>Values are not shown where the total unweighted response count is < 50 or the relative standard error is > 0.3.",,,,,,,,,,,,,
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Ala Moana - Nu‘uanu",6.9,percent,5.2,8.5,,,,,No,2016-2020,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.<div class=""field_divider""><!-- --></div>Values are not shown where the total unweighted response count is < 50 or the relative standard error is > 0.3.",,,,,,,,,,,,,
"Adults Who Did Not See a Doctor Due to Cost","This indicator shows the percentage of adults who report not seeing a doctor in the past 12 months because of cost.","Primary Care Service Area","Ala Moana - Nu‘uanu",6.6,percent,5.0,8.2,,,,,No,2015-2019,"Behavioral Risk Factor Surveillance System","While estimated rates remain the same, CI values may vary slightly from HHDW.org due to differences in rounding methodology.<div class=""field_divider""><!-- --></div>Values are not shown where the total unweighted response count is < 50 or the relative standard error is > 0.3.",,,,,,,,,,,,,
